FIPS,gunOwnerRate,homicideRate,gunDeathRate,suiRate,gunSuiRate,gunPctSuicide,inTheNet,onPaper,inJail
24,0.486,7.69,17.6,15.3,10,0.69,"2,640","1,610","1,080"
3,0.582,6.14,19.1,23.4,15.2,0.6,"2,320","1,520",800
18,0.347,6.46,15.1,16,10.1,0.6,"2,570","1,590","1,030"
10,0.55,6.77,16.2,17,10.7,0.62,"3,150","2,250","1,050"
46,0.226,5.76,8.7,9.3,3.9,0.37,"1,770","1,100",670
9,0.354,3.51,11.8,16.9,9.7,0.5,"2,820","2,110",740
45,0.182,3.13,5.2,8.3,3,0.27,"2,110","1,580",530
43,0.161,4.81,9.7,11.2,5.3,0.45,"2,980","2,100",880
30,0.312,5.61,11.8,11.1,4.6,0.53,"2,200","1,320",900
40,0.373,6.81,13.2,13.8,7.8,0.63,"5,033",851,"1,160"
28,0.278,2.43,3.2,9.9,4.4,0.13,"2,450","1,950",500
5,0.572,2.14,13,15,8.3,0.62,"3,880","2,980",900
44,0.252,6.94,9.1,12.5,7.7,0.39,"2,070","1,450",620
26,0.351,5.79,11.9,12.3,6.1,0.55,"3,150","2,300",850
32,0.348,1.81,7.2,11.4,6.6,0.46,"1,940","1,460",560
17,0.359,4.51,11.2,14,8.1,0.57,"1,750",980,780
23,0.446,4.94,14,15.1,9,0.61,"2,850","1,860","1,010"
31,0.456,12.13,19.2,16.1,9.3,0.62,"3,110","1,980","1,270"
12,0.345,1.64,9,14.1,9.8,0.55,960,630,380
47,0.252,8.64,11.1,10.9,5.9,0.43,"2,120","1,770",610
48,0.176,2.44,3.4,7.4,3.4,0.22,"1,520","1,170",360
36,0.337,6.11,11.2,10.8,4.2,0.47,"2,505","3,020",730
38,0.378,2.31,7,10.6,5.9,0.47,"2,810","2,450",380
34,0.469,7.86,17.7,14.5,7.6,0.66,"2,880","1,660","1,260"
19,0.347,7.79,14.4,15.5,10,0.61,"2,240","1,300",940
1,0.591,2.97,16.5,19.6,13.5,0.68,"1,860","1,250",700
37,0.304,2.79,8.4,14.2,8.9,0.46,"1,620","1,010",610
11,0.368,8.01,15.8,15.2,8,0.52,"1,720",830,890
15,0.236,1.33,7.4,15.9,10.3,0.5,"1,010",590,410
49,0.133,3.9,5.1,8.1,3.3,0.26,"2,670","2,230",460
4,0.435,7.54,15.9,15.6,7.3,0.53,"1,900",970,930
50,0.154,4.31,4.9,10.6,6.2,0.26,"1,360",910,480
35,0.346,6.34,12.7,11,5.1,0.55,"1,890","1,210",680
13,0.5,1.73,9.7,15.1,9.7,0.6,"1,770","1,230",540
33,0.264,4.71,10.1,12.3,7.2,0.53,"3,620","2,840",790
16,0.38,5.5,14.9,15.5,8.5,0.58,"2,510","1,190","1,310"
14,0.341,2.46,11.2,15.6,9.7,0.53,"2,520","1,890",640
29,0.322,5.5,10.8,14.1,8,0.49,"3,640","2,880",810
42,0.104,2.67,4.2,8.9,4.5,0.26,"2,850","2,730",370
25,0.436,7.09,14.8,13.5,6.3,0.63,"1,770",940,820
6,0.478,2,9.6,14.6,8.7,0.43,"2,290","1,420",880
22,0.445,7.23,15.6,15.8,9.3,0.61,"2,310","1,440",930
41,0.377,5.53,10.9,12.5,8.3,0.57,"3,290","2,330","1,050"
8,0.359,2.27,10.7,14.4,8.5,0.52,"1,180",740,540
20,0.389,1.67,9.7,14.8,8.8,0.55,"1,450","1,150",340
39,0.34,5.96,11,13.2,8.5,0.57,"1,830",950,880
21,0.302,3.16,9.3,12.8,7.6,0.49,"2,230","1,760",530
7,0.539,3.84,14.8,16.8,10.8,0.68,"1,380",690,690
27,0.383,3.26,8.8,13.4,9.1,0.47,"2,230","1,440",790
2,0.613,2.46,16.4,18.4,11.3,0.63,"2,100","1,230",870
